Name,Country,Years active,Proven victims,Possible victims,Notes
Luis Garavito,Colombia  Ecuador[3]  Venezuela[3],1992–1999[3],193,193–300+,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Garavito confessed to killing 140 boys between six and sixteen years old, from October 1992 to April 1999 in Colombia and neighboring countries.[3] He is suspected of murdering over 300 victims, mostly street children. Garavito was originally sentenced to 1,853 years in prison, but this was later reduced to 22 years, after he led police to many of the bodies of his victims.[4][5] He is scheduled to become eligible for parole in 2023.[6]"
Pedro López,Colombia  Peru  Ecuador,1969–1980,110,300+,"Child-murderer and rapist, known as ""The Monster of the Andes"". López targeted young girls, between the ages of eight and twelve. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s.[7]"
Javed Iqbal,Pakistan,1998–1999,100,100,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered exactly 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in December 1999 after sending a letter to a newspaper, and was set to be executed in the manner described by the judge who stated, ""You will be strangled to death in front of the parents whose children you killed, Your body will then be cut into 100 pieces and put in acid, the same way you killed the children.""[8] However, he died in custody before he could be executed.[9]"
Mikhail Popkov,Russia,1992–2010,78,83+,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018.[10][11] In July 2020, Popkov confessed to more killings, bringing the total number of admitted victims to 83.[12] He was sentenced to life."
Daniel Camargo Barbosa,Colombia  Ecuador  Brazil (alleged)[13],1974–1986,72,180[13],"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children, as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison, and started killing in Ecuador. He was rearrested in 1986, and was allegedly incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López.[citation needed] Camargo was killed in jail by the nephew of one of his victims.[13][14]"
Pedro Rodrigues Filho,Brazil,1967–2003,71,100+,"Rodrigues Filho claimed to have killed over 100 victims, 47 of them inmates. He also killed his father (who had killed his mother) and ate a piece of his heart. He killed his first two victims at the age of 14. He was first arrested in 1973; he was convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years.[15] He was released in 2018. He was murdered by two men in 2023."
Kampatimar Shankariya,India,1977–1978,70,70+,"Shankariya was an Indian serial killer who used a hammer to kill over 70 men and women between 1978 and 1979. He was hanged in 1979; his last words were, ""I have murdered in vain"", he declared. ""Nobody should become like me.""[16][17][18][19]"
Yang Xinhai,China,1999–2003,67,67,"Known as the ""Monster Killer"". Yang would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. He was executed by gunshot in 2004.[20]"
Samuel Little,United States,1970–2005,60,93,"Little was convicted of killing three women, but later investigations linked 31 other murders to him. He is now thought to be America's most prolific serial killer. He claimed he killed as many as 93 victims total, three above his initial confession of 90; the FBI later confirmed a total of 60 murders linked to Little. The investigations into his crimes are ongoing.[21][22]"
William Unek,Belgian Congo  Tanganyika,1954–1957,57,57,"Unek was a police constable who murdered 21 people with an axe in less than two hours before fleeing. Three years later, Unek, armed with rifle and axe, murdered 36 more people in the village of Malampaka before being mortally wounded by police with a smoke bomb that caught fire.[23]"
Mohammed Bijeh,Iran,2002–2004,54,54,"Bijeh raped and killed at least 54 male children and teenagers. On November 27, 2004, he was sentenced to be executed. Bijeh said that if he was not arrested, he would kill 100 children. He was executed after being lashed in front of a crowd in 2005."
Andrei Chikatilo,Soviet Union,1978–1990,53,56,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Chikatilo was convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Chikatilo was executed by gunshot in 1994.[24]"
Anatoly Onoprienko,Soviet Union  Ukraine,1989–1996,52,52+,"Known as ""The Beast of Ukraine"", ""The Terminator"", and ""Citizen O"". Onoprienko was convicted of the murders of nine people in 1989, and 43 people in 1995–1996. He travelled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. He was sentenced to death, and was later commuted to imprisonment for life. He died from heart failure in 2013.[24]"
Florisvaldo de Oliveira,Brazil,1982–1983,50,50+,"Known as ""Cabo Bruno""; de Oliveira was a former police officer and vigilante who murdered criminals in the outskirts of São Paulo. He was murdered by unknown assailants in 2012.[25]"
Gary Ridgway,United States,1982–2000,49,71–90+,"Ridgway was a truck painter who confessed to killing 71 women. He was also known as The ""Green River Killer"". He almost exclusively targeted sex workers from Seattle. Ridgway was suspected of killing over 90 victims; he confessed to 71, and was convicted of 49.[26] He was sentenced to life without parole.[27]"
Alexander Pichushkin,Russia,1992–2006,49,60,"Pichushkin was also known as the ""Chessboard Killer"". He was convicted of murdering 49 victims, and suspected of killing 60. He claimed to have murdered 62 people, because he did not know that two of his victims had survived; he stated that his goal was becoming Russia's most prolific serial killer.[28] He was sentenced to life imprisonment."
Wang Qiang,China,1995–2003,45,60+,Wang killed 45 and raped 10 from 1995 to 2003.[29] He was executed by firing squad in 2005.
Ahmad Suradji,Indonesia,1986–1997,42,42,Suradji was convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. He was executed by firing squad in 2008.[30]
Raman Raghav,India,1965–1968,41,41,"In the late 1960s, Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their huts while they slept. He died of kidney failure in 1995."
Moses Sithole,South Africa,1994–1995,38,76,"Known as South Africa's Ted Bundy. Sithole preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. He was sentenced to 2,410 years imprisonment, with a non-parole period of 930 years.[31]"
